Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470n","C_0805_2012Metric",-7.037500,-1.400000,180.000000,top
"C2","470n","C_0805_2012Metric",-7.037500,-14.400000,180.000000,top
"F1","500mA","Fuse_1206_3216Metric",-6.400000,-7.100000,270.000000,top
"F2","500mA","Fuse_1206_3216Metric",-6.400000,-20.100000,270.000000,top
"J1","JST_SH_SM04B-SRSS-TB_1x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-21.925000,-5.500000,270.000000,top
"J2","JST_SH_SM04B-SRSS-TB_1x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-21.925000,-18.500000,270.000000,top
"R1","5.1K","R_0603_1608Metric",6.300000,-7.000000,90.000000,top
"R2","5.1K","R_0603_1608Metric",6.300000,-4.000000,90.000000,top
"R3","1M","R_1206_3216Metric",-7.500000,-3.600000,180.000000,top
"R4","5.1K","R_0603_1608Metric",6.300000,-20.000000,90.000000,top
"R5","5.1K","R_0603_1608Metric",6.300000,-17.000000,90.000000,top
"R6","1M","R_1206_3216Metric",-7.500000,-16.600000,180.000000,top
"U1","SRV05-4","SOT-23-6",-9.700000,-7.800000,90.000000,top
"U2","SRV05-4","SOT-23-6",-9.700000,-20.800000,90.000000,top
"USB1","HRO-TYPE-C-31-M-14","HRO-TYPE-C-31-M-12-Assembly",0.000000,0.000000,180.000000,top
"USB2","HRO-TYPE-C-31-M-14","HRO-TYPE-C-31-M-12-Assembly",0.000000,-13.000000,180.000000,top
