Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470n,C_0805_2012Metric,8.600000,-3.537500,270.000000,bottom
C2,470n,C_0805_2012Metric,-8.600000,-20.462500,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,-8.400000,-8.300000,270.000000,bottom
F2,500mA,Fuse_1206_3216Metric,8.400000,-15.700000,90.000000,bottom
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-13.600000,-7.350000,180.000000,bottom
J2,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,13.600000,-16.650000,0.000000,bottom
R1,5.1K,R_0603_1608Metric,7.887500,-8.000000,270.000000,bottom
R2,5.1K,R_0603_1608Metric,6.387500,-8.000000,270.000000,bottom
R3,1M,R_1206_3216Metric,6.387500,-4.000000,270.000000,bottom
R4,5.1K,R_0603_1608Metric,-7.887500,-16.000000,90.000000,bottom
R5,5.1K,R_0603_1608Metric,-6.387500,-16.000000,90.000000,bottom
R6,1M,R_1206_3216Metric,-6.387500,-20.000000,90.000000,bottom
U1,SRV05-4,SOT-23-6,-7.700000,-4.100000,0.0,bottom
U2,SRV05-4,SOT-23-6,7.700000,-19.900000,180.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,0.000000,0.000000,0.000000,bottom
USB2,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,0.000000,-24.000000,180.000000,bottom
